Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,100n,C307331
"C10, C17",0402,2,10u,C15525
"C11, C12, C16, C9",0402,4,1u,C52923
"C13, C14, C15, C21, C22, C23, C24, C25, C28, C29, C3, C35, C36, C37, C38, C39, C4, C5, C6, C7, C8",0402,21,100n,C1525
"C18, C19, C20, C30, C31, C32, C33, C34",0805,8,10u,C15850
"C26, C27, C40, C41",0402,4,22p,C1555
D1,D_SMA_1SMA4734A,1,5V6,C2943833
D2,D_SOD-323,1,~,C397613
F1,Fuse_MFU0603FF02000P500,1,2A,C1972777
J1,USB_C_Receptable_USB-TYPE-C-018,1,USB_C_Receptable_USB2.0,C2927038
"J3, J4",PinHeader_2x07_P2.54mm_Vertical_SMD_10129383-914001ALF,2,Conn_02x07_Odd_Even,10129383-914001ALF
"LED1, LED5",LED_0603_CSL0902ET,2,GREEN,
LED2,LED_0603_CSL0902UT,1,RED,
"LED3, LED4",LED_0603_CSL0902BT,2,BLUE,
"Q1, Q2, Q6",SOT-323_SC-70,3,DMG1012UW-7,C156390
"Q3, Q4, Q5",SOT-23_DMP1045U-7,3,DMP1045U-7,C177033
R1,0402,1,100,C25076
"R10, R28, R3, R8",0402,4,220,C25091
"R13, R17, R29, R4",0402,4,1k,C11702
"R14, R23, R24",0402,3,100k,C25741
"R15, R16",0402,2,22,C25092
"R18, R19, R26",0402,3,10k,C25744
R2,0402,1,200,C25087
"R20, R21, R22",0402,3,0,C17168
R25,0402,1,470,C25117
R27,0402,1,1k,GPR04021K
"R5, R6",0402,2,5k1,C25905
"SW1, SW2, SW3, SW5",SW_Tactile_SPST_NO_Straight_ALPSALPINE_SKRP,4,SKRPASE010,C470427
SW4,SW_Slide_SPDT_ALPSALPINE_SSSS2,1,SSSS213202,C115375
"TVS1, TVS10, TVS11, TVS12, TVS13, TVS14, TVS15, TVS16, TVS17, TVS18, TVS19, TVS2, TVS20, TVS21, TVS22, TVS23, TVS4, TVS5, TVS6, TVS7, TVS8, TVS9",D_SOD-323_CDSOD323-T05LC,22,5V,C840637
TVS3,D_SMA_SMAJ5.0A,1,5V,C83329
U1,SOT-23-5,1,AP2141WG-7,C500761
U1003,TSSOP-20_4.4x6.5mm_P0.65mm,1,~,C5123443
U1004,TSSOP-20_4.4x6.5mm_P0.65mm,1,~,C5187096
U2,SOT-223-3_TabPin2,1,~,C145411
XTAL1,CRYSTAL-SMD5032-4P,1,SX5B12.000F2020F30,C2901629
XTAL2,CRYSTAL-SMD3225-4P,1,M24000J054,C279615
